"","x"
"1",14819870520000
"2",2697419870520
"3",1381085416169.27
"4",496953366920.898
"5",256906011803.675
"6",242450321170.141
"7",145701140312.24
"8",156049094970.312
"9",113162176374.564
"10",141530293760
"11",106719530941.275
"12",106859990738.753
"13",100955186234.529
"14",102890461966.371
"15",104189800689.876
"16",102137005553.811
"17",100994441968.185
"18",100975198350.667
"19",101188680826.301
"20",101182639891.455
"21",100724286457.82
"22",100731116422.368
"23",100818988120.989
"24",100662681399.418
"25",100682644443.559
"26",100629660472.197
"27",100685412446.074
"28",100647969007.661
"29",100640538732.334
"30",100631219586.451
"31",100634701260.51
"32",100625974342.396
"33",100625037511.646
"34",100624801857.666
"35",100624358895.125
"36",100625553110.478
"37",100624117704.203
"38",100623845465.731
"39",100623854063.752
"40",100623682894.923
"41",100623661594.159
"42",100623642522.809
